week,date,winner_team,winner_score,winner_rank,winner_side,winner_primary_color,winner_secondary_color,loser_team,loser_score,loser_rank,loser_side,loser_primary_color,loser_secondary_color,winner_team_clean,loser_team_clean,winner_conference,loser_conference
1,"Saturday, August 31, 2019",San Diego St.,6,,home,#A6192E,#841424,Weber St.,0,,away,#470A68,#380853,San Diego State,Weber State,Mountain West,
1,"Saturday, August 31, 2019",Washington St.,58,23.0,home,#9D2235,#7d1b2a,New Mexico St.,7,,away,#861F41,#6b1834,Washington State,New Mexico State,Pac-12,
1,"Saturday, August 31, 2019",UNLV,56,,home,#C8102E,#a00c24,Southern Utah,23,,away,#BA0C2F,#940925,UNLV,Southern Utah,Mountain West,
1,"Saturday, August 31, 2019",Southern California,31,,home,#9D2235,#7d1b2a,Fresno St.,23,,away,#D50032,#aa0028,USC,Fresno State,Pac-12,Mountain West
1,"Sunday, September 01, 2019",Oklahoma,49,4.0,home,#9D2235,#7d1b2a,Houston,31,,away,#C8102E,#a00c24,Oklahoma,Houston,Big 12,American Athletic Conference
1,"Monday, September 02, 2019",Notre Dame,35,9.0,away,#0C2340,#091c33,Louisville,17,,home,#BA0C2F,#940925,Notre Dame,Louisville,Atlantic Coast,Atlantic Coast
2,"Friday, September 06, 2019",Virginia,52,,home,#232D4B,#1c243c,William & Mary,17,,away,#284734,#203829,Virginia,William & Mary,Atlantic Coast,
2,"Friday, September 06, 2019",Wake Forest,41,,away,#010101,#000,Rice,21,,home,#00205B,#001948,Wake Forest,Rice,Atlantic Coast,Conference USA
2,"Friday, September 06, 2019",Boise St.,14,24.0,home,#0032A0,#002880,Marshall,7,,away,#00B140,#008d33,Boise State,Marshall,Mountain West,Conference USA
2,"Friday, September 06, 2019",Arizona St.,19,,home,#7D2248,#641b39,Sacramento St.,7,,away,#115740,#0d4533,Arizona State,Sacramento State,Pac-12,
2,"Saturday, September 07, 2019",Pittsburgh,20,,home,#003594,#002a76,Ohio,10,,away,#2C5234,#234129,Pittsburgh,Ohio,Atlantic Coast,Mid-American
